id,planet_type,discovery_date,mass,planet_radius,orbital_radius,orbital_period,eccentricity,detection_method
1305,Neptune-like,2018,7.08 Earths,0.228 x Jupiter,0.0806 AU,8.4 days,0.0,
1306,Neptune-like,2018,16.3 Earths,0.374 x Jupiter,Unknown,17 days,0.0,
1307,Super Earth,2019,2.61 Earths,1.423 x Earth,Unknown,3.4 days,0.0,
1308,Neptune-like,2019,6.52 Earths,0.218 x Jupiter,Unknown,7.5 days,0.0,
1309,Super Earth,2018,6.9 Earths,1.73 x Earth,0.0382 AU,3.2 days,0.02,
1310,Neptune-like,2018,12.4 Earths,0.254 x Jupiter,0.0662 AU,7.4 days,0.03,
1311,Neptune-like,2015,32.4 Earths,0.624 x Jupiter,0.074 AU,7.9 days,0.2,
1312,Neptune-like,2015,10.8 Earths,0.366 x Jupiter,0.0971 AU,11.9 days,0.21,
1313,Super Earth,2016,10 Earths,1.11 x Earth,0.0344 AU,2.5 days,0.0,
1314,Super Earth,2018,2.43 Earths,1.364 x Earth,Unknown,2.8 days,0.0,
1315,Super Earth,2018,2.54 Earths,1.4 x Earth,Unknown,1.1 days,0.0,
1316,Neptune-like,2018,10.8 Earths,0.293 x Jupiter,Unknown,22.8 days,0.0,
1317,Neptune-like,2018,5.91 Earths,0.205 x Jupiter,Unknown,3.4 days,0.0,
1318,Super Earth,2018,2.45 Earths,1.371 x Earth,Unknown,9.7 days,0.0,
1319,Neptune-like,2018,9.51 Earths,0.272 x Jupiter,Unknown,7.1 days,0.0,
1320,Super Earth,2018,4.64 Earths,1.996 x Earth,Unknown,26.7 days,0.0,
1321,Neptune-like,2018,8.22 Earths,0.249 x Jupiter,Unknown,18.3 days,0.0,
1322,Neptune-like,2018,7.3 Earths,0.232 x Jupiter,Unknown,12.5 days,0.0,
1323,Super Earth,2018,3.46 Earths,1.679 x Earth,Unknown,4.2 days,0.0,
1324,Terrestrial,2018,0.586 Earths,0.869 x Earth,Unknown,2.1 days,0.0,
1325,Terrestrial,2018,0.566 Earths,0.86 x Earth,Unknown,0.6 days,0.0,
1326,Super Earth,2018,2.24 Earths,1.3 x Earth,Unknown,0.7 days,0.0,
1327,Neptune-like,2018,6.9 Earths,0.225 x Jupiter,0.0785 AU,9.8 days,0.0,
1328,Super Earth,2018,2.9 Earths,1.514 x Earth,Unknown,8.1 days,0.0,
1329,Neptune-like,2018,6.48 Earths,0.217 x Jupiter,0.0834 AU,8.6 days,0.0,
1330,Neptune-like,2018,5.16 Earths,2.124 x Earth,Unknown,8.3 days,0.0,
1331,Super Earth,2018,8 Earths,1.75 x Earth,0.028 AU,2.2 days,0.0,
1332,Neptune-like,2018,12.5 Earths,0.319 x Jupiter,Unknown,14.1 days,0.0,
1333,Neptune-like,2018,7.13 Earths,0.229 x Jupiter,Unknown,8.7 days,0.0,
1334,Super Earth,2018,2.38 Earths,1.348 x Earth,Unknown,3.9 days,0.0,
1335,Super Earth,2018,2.66 Earths,1.438 x Earth,Unknown,6.7 days,0.0,
1336,Neptune-like,2018,7.16 Earths,0.23 x Jupiter,Unknown,11.1 days,0.0,
1337,Neptune-like,2015,4.04 Earths,1.84 x Earth,0.076 AU,9.3 days,0.1,
1338,Super Earth,2015,6.76 Earths,0.222 x Jupiter,0.107 AU,15.5 days,0.21,
1339,Neptune-like,2018,6.3 Earths,0.213 x Jupiter,0.1104 AU,13.7 days,0.0,
1340,Super Earth,2018,3.46 Earths,1.679 x Earth,Unknown,2.4 days,0.0,
1341,Neptune-like,2018,6.3 Earths,0.213 x Jupiter,0.1211 AU,15.4 days,0.0,
1342,Terrestrial,2018,0.64 Earths,0.89 x Earth,0.0127 AU,0.5 days,0.0,
1343,Super Earth,2018,2.86 Earths,1.5 x Earth,0.0549 AU,4.6 days,0.0,
1344,Super Earth,2018,3.05 Earths,1.56 x Earth,0.0516 AU,4.5 days,0.0,
1345,Neptune-like,2018,6.39 Earths,0.215 x Jupiter,0.0886 AU,10.1 days,0.0,
1346,Neptune-like,2018,12 Earths,0.311 x Jupiter,0.134 AU,15.9 days,0.0,
1347,Super Earth,2018,2.99 Earths,1.54 x Earth,0.0413 AU,3.3 days,0.0,
1348,Super Earth,2018,3.41 Earths,1.666 x Earth,Unknown,13.6 days,0.0,
1349,Super Earth,2018,1.92 Earths,1.21 x Earth,0.0338 AU,2.7 days,0.0,
1350,Super Earth,2018,2.49 Earths,1.0 x Earth,0.0131 AU,0.6 days,0.0,
1351,Super Earth,2018,21.3 Earths,2.03 x Earth,0.0769 AU,8.3 days,0.0,
1352,Neptune-like,2015,1.4 Jupiters,0.205 x Jupiter,0.009 AU,0.4 days,0.19,
1353,Super Earth,2018,4.5 Earths,1.96 x Earth,0.0409 AU,2.9 days,0.0,
1354,Neptune-like,2018,6.8 Earths,0.223 x Jupiter,Unknown,13.8 days,0.0,
1355,Gas Giant,2018,0.398 Jupiters,1.0 x Jupiter,0.10356 AU,11.2 days,0.26,
1356,Super Earth,2018,11.26 Earths,1.343 x Earth,0.03308 AU,2.5 days,0.08,
1357,Super Earth,2018,12.81 Earths,1.281 x Earth,0.06666 AU,7.1 days,< 0.2002,
1358,Super Earth,2018,21.14 Earths,0.21 x Jupiter,0.15224 AU,24.4 days,< 0.1999,
1359,Gas Giant,2018,1.363 Jupiters,1.445 x Jupiter,0.03558 AU,2.2 days,0.04,
1360,Gas Giant,2018,0.86 Jupiters,1.3 x Jupiter,0.046 AU,3.2 days,0.0,
1361,Super Earth,2018,1.37 Earths,1.1 x Earth,0.0441 AU,5.2 days,0.0,
1362,Terrestrial,2018,0.972 Earths,1.0 x Earth,0.0576 AU,7.8 days,0.0,
1363,Super Earth,2018,1.37 Earths,1.1 x Earth,0.0685 AU,10.1 days,0.0,
1364,Super Earth,2018,4.66 Earths,2.0 x Earth,0.0513 AU,6 days,0.0,
1365,Super Earth,2018,3.89 Earths,1.8 x Earth,0.1159 AU,20.5 days,0.0,
1366,Neptune-like,2018,7.04 Earths,0.227 x Jupiter,0.1567 AU,26.8 days,0.0,
1367,Neptune-like,2018,6.99 Earths,0.227 x Jupiter,0.0494 AU,6.5 days,0.0,
1368,Neptune-like,2018,5.35 Earths,2.17 x Earth,0.1087 AU,11.5 days,0.0,
1369,Super Earth,2018,4.7 Earths,2.01 x Earth,0.1817 AU,24.9 days,0.0,
1370,Super Earth,2018,3.71 Earths,1.75 x Earth,0.1418 AU,21.1 days,0.0,
1371,Neptune-like,2018,17.4 Earths,0.387 x Jupiter,0.0959 AU,11.9 days,0.0,
1372,Neptune-like,2018,12 Earths,0.311 x Jupiter,0.0602 AU,5.8 days,0.0,
1373,Neptune-like,2018,5.14 Earths,2.12 x Earth,0.0304 AU,2.3 days,0.0,
1374,Neptune-like,2018,5.43 Earths,2.19 x Earth,0.0615 AU,6.5 days,0.0,
1375,Neptune-like,2018,7.13 Earths,0.229 x Jupiter,0.0699 AU,7.2 days,0.0,
1376,Neptune-like,2018,8.2 Earths,0.249 x Jupiter,0.1151 AU,12.4 days,0.0,
1377,Neptune-like,2016,19 Earths,0.482 x Jupiter,0.154 AU,20.9 days,0.06,
1378,Neptune-like,2016,15.4 Earths,0.669 x Jupiter,0.247 AU,42.3 days,< 0.07,
1379,Neptune-like,2018,6.53 Earths,0.218 x Jupiter,0.0459 AU,4 days,0.0,
1380,Neptune-like,2018,6.12 Earths,0.21 x Jupiter,0.0694 AU,9.3 days,0.0,
1381,Super Earth,2018,3.68 Earths,1.74 x Earth,0.1041 AU,13.8 days,0.0,
1382,Gas Giant,2018,Unknown,1.13 x Jupiter,0.0506 AU,4 days,0.0,
1383,Super Earth,2018,3.29 Earths,1.63 x Earth,0.0448 AU,4.1 days,0.0,
1384,Neptune-like,2018,5.43 Earths,2.19 x Earth,0.0923 AU,12.1 days,0.0,
1385,Neptune-like,2018,8.75 Earths,0.259 x Jupiter,0.0274 AU,2 days,0.0,
1386,Neptune-like,2018,7.41 Earths,0.235 x Jupiter,0.0578 AU,5.5 days,0.0,
1387,Terrestrial,2018,0.498 Earths,0.83 x Earth,0.0216 AU,1.6 days,0.0,
1388,Neptune-like,2018,9.27 Earths,0.268 x Jupiter,0.149 AU,19.1 days,0.0,
1389,Neptune-like,2018,5.99 Earths,0.207 x Jupiter,0.1271 AU,15.5 days,0.0,
1390,Neptune-like,2015,24.5 Earths,0.306 x Jupiter,0.0287 AU,3.5 days,0.43,
1391,Gas Giant,2018,1.42 Jupiters,1.552 x Jupiter,0.0404 AU,2.6 days,0.0,
1392,Gas Giant,2018,0.188 Jupiters,0.85 x Jupiter,0.1034 AU,11.6 days,0.29,
1393,Super Earth,2018,14.8 Earths,0.215 x Jupiter,0.2573 AU,50.8 days,< 0.14,
1394,Neptune-like,2018,5.61 Earths,2.231 x Earth,0.05023 AU,5.8 days,< 0.5,
1395,Neptune-like,2018,7.6 Earths,0.238 x Jupiter,0.11283 AU,19.7 days,< 0.45,
1396,Super Earth,2018,6.54 Earths,1.71 x Earth,0.03376 AU,2.4 days,0.08,
1397,Neptune-like,2018,11.26782 Earths,0.294 x Jupiter,0.01306 AU,0.7 days,0.0,
1398,Terrestrial,2018,0.29013 Earths,0.705 x Earth,0.0679 AU,7.8 days,0.04,
1399,Neptune-like,2018,8.9 Earths,0.261 x Jupiter,0.1035 AU,14.7 days,0.05,
1400,Neptune-like,2018,14.3 Earths,0.244 x Jupiter,0.1249 AU,19.5 days,0.04,
1401,Super Earth,2018,2.86 Earths,1.5 x Earth,0.0308 AU,2.2 days,0.0,
1402,Neptune-like,2018,7.7 Earths,0.24 x Jupiter,0.0819 AU,9.3 days,0.0,
1403,Super Earth,2019,2.83 Earths,1.49 x Earth,Unknown,4.5 days,0.0,
1404,Super Earth,2019,2.33 Earths,1.33 x Earth,Unknown,6.1 days,0.0,
1405,Neptune-like,2019,5.6 Earths,2.23 x Earth,Unknown,26.3 days,0.0,
1406,Super Earth,2018,3.09 Earths,1.57 x Earth,0.0531 AU,4.1 days,0.0,
1407,Neptune-like,2016,7.61 Earths,0.238 x Jupiter,0.0962 AU,14.6 days,0.0,
1408,Super Earth,2018,2.48 Earths,1.38 x Earth,0.0247 AU,1.5 days,0.0,
1409,Neptune-like,2018,9.01 Earths,0.263 x Jupiter,0.0497 AU,4.4 days,0.0,
1410,Gas Giant,2018,0.131 Jupiters,0.649 x Jupiter,0.077 AU,8.6 days,0.0,
1411,Neptune-like,2018,9.96 Earths,0.279 x Jupiter,0.1007 AU,14.5 days,0.0,
1412,Neptune-like,2018,9.53 Earths,0.272 x Jupiter,0.0729 AU,11.7 days,0.0,
1413,Super Earth,2018,4.98 Earths,2.08 x Earth,0.0964 AU,14.1 days,0.0,
1414,Neptune-like,2018,6.08 Earths,0.209 x Jupiter,0.0277 AU,3.3 days,0.0,
1415,Neptune-like,2018,5.52 Earths,2.21 x Earth,0.0881 AU,8.4 days,0.0,
1416,Neptune-like,2018,13.7 Earths,0.336 x Jupiter,0.1291 AU,18.7 days,0.0,
1417,Super Earth,2018,4.94 Earths,2.07 x Earth,0.0675 AU,6.3 days,0.0,
1418,Neptune-like,2018,9.17 Earths,0.266 x Jupiter,0.0488 AU,3.3 days,0.0,
1419,Super Earth,2018,1.92 Earths,1.21 x Earth,0.067 AU,7.1 days,0.0,
1420,Neptune-like,2016,30.9 Earths,0.4 x Jupiter,0.06702 AU,6.8 days,0.25,
1421,Neptune-like,2018,37.1 Earths,0.669 x Jupiter,0.1461 AU,19.9 days,0.35,
1422,Gas Giant,2018,0.16 Jupiters,0.73 x Jupiter,0.0773 AU,8.7 days,0.0,
1423,Neptune-like,2018,6.8 Earths,0.223 x Jupiter,0.0499 AU,4.2 days,0.0,
1424,Neptune-like,2018,12.2 Earths,0.314 x Jupiter,0.0291 AU,1.9 days,0.0,
1425,Neptune-like,2018,8.15 Earths,0.248 x Jupiter,0.04771 AU,4.8 days,0.08,
1426,Super Earth,2018,9.68 Earths,0.231 x Jupiter,0.03817 AU,3.5 days,0.0,
1427,Neptune-like,2018,15.68 Earths,0.315 x Jupiter,0.0824 AU,7.1 days,0.0,
1428,Neptune-like,2018,6.5 Earths,0.221 x Jupiter,0.1178 AU,10.5 days,0.0,
1429,Neptune-like,2018,10.7 Earths,1.95 x Earth,0.18041 AU,14.8 days,0.0,
1430,Neptune-like,2018,5.06 Earths,2.1 x Earth,0.1768 AU,27.4 days,0.0,
1431,Gas Giant,2018,0.315 Jupiters,0.847 x Jupiter,0.1206 AU,14.9 days,0.48,
1432,Super Earth,2018,4.27 Earths,1.9 x Earth,0.164 AU,31.4 days,0.0,
1433,Gas Giant,2019,0.192 Jupiters,0.812 x Jupiter,0.107 AU,13.2 days,0.0,
1434,Neptune-like,2016,5.99 Earths,0.207 x Jupiter,0.0214 AU,2.3 days,0.0,
1435,Super Earth,2019,10.9 Earths,0.273 x Jupiter,0.0923 AU,9.2 days,0.0,
1436,Gas Giant,2019,0.774 Jupiters,1.006 x Jupiter,0.305 AU,48.4 days,0.0,
1437,Super Earth,2019,6.49 Earths,1.589 x Earth,0.03261 AU,2.2 days,0.0,
1438,Neptune-like,2019,24.5 Earths,0.235 x Jupiter,0.13 AU,17 days,0.04,
1439,Neptune-like,2019,6.57 Earths,0.219 x Jupiter,Unknown,13.1 days,0.0,
1440,Super Earth,2019,3.39 Earths,1.66 x Earth,Unknown,2.5 days,0.0,
1441,Gas Giant,2018,0.335 Jupiters,0.897 x Jupiter,0.0451 AU,4 days,0.0,
1442,Gas Giant,2016,0.73 Jupiters,1.19 x Jupiter,0.04217 AU,3.3 days,0.07,
1443,Gas Giant,2019,0.222 Jupiters,0.884 x Jupiter,Unknown,3.4 days,0.0,
1444,Gas Giant,2016,0.579 Jupiters,1.039 x Jupiter,0.04839 AU,4.1 days,0.0,
1445,Terrestrial,2020,0.809 Earths,0.95 x Earth,Unknown,3.1 days,0.0,
1446,Super Earth,2020,2.33 Earths,1.33 x Earth,0.0147 AU,1.1 days,0.0,
1447,Super Earth,2020,4.01 Earths,1.83 x Earth,0.0582 AU,5.3 days,0.0,
1448,Neptune-like,2020,8.91 Earths,0.261 x Jupiter,0.0542 AU,6.2 days,0.0,
1449,Super Earth,2020,3.39 Earths,1.66 x Earth,0.0911 AU,7 days,0.0,
1450,Neptune-like,2020,8.2 Earths,0.249 x Jupiter,0.1516 AU,26.7 days,0.0,
1451,Gas Giant,2016,1.774 Jupiters,1.06 x Jupiter,0.022 AU,1.3 days,0.0,
1452,Neptune-like,2020,7.37 Earths,0.234 x Jupiter,0.0142 AU,2 days,0.0,
1453,Super Earth,2020,4.46 Earths,1.95 x Earth,0.041 AU,2.3 days,0.0,
1454,Super Earth,2020,4.35 Earths,1.92 x Earth,0.0594 AU,8.2 days,0.0,
1455,Neptune-like,2020,5.06 Earths,2.1 x Earth,0.1275 AU,24.9 days,0.0,
1456,Neptune-like,2020,6.48 Earths,0.217 x Jupiter,0.0331 AU,3.3 days,0.0,
1457,Neptune-like,2020,5.48 Earths,2.2 x Earth,0.0419 AU,6.9 days,0.0,
1458,Neptune-like,2020,5.82 Earths,0.203 x Jupiter,0.0198 AU,1.3 days,0.0,
1459,Gas Giant,2020,0.26 Jupiters,0.774 x Jupiter,0.1016 AU,12.5 days,0.07,
1460,Neptune-like,2016,15 Earths,0.473 x Jupiter,0.0795 AU,9 days,0.03,
1461,Neptune-like,2016,8.1 Earths,0.28 x Jupiter,0.13843 AU,20.7 days,0.05,
1462,Neptune-like,2016,6.7 Earths,0.311 x Jupiter,0.18422 AU,31.7 days,0.05,
1463,Super Earth,2019,2.1 Earths,1.212 x Earth,0.04899 AU,4.3 days,0.04,
1464,Neptune-like,2016,8.1 Earths,0.247 x Jupiter,Unknown,13.8 days,0.0,
1465,Super Earth,2021,3.86 Earths,1.79 x Earth,Unknown,9.4 days,0.0,
1466,Neptune-like,2018,7.85 Earths,0.243 x Jupiter,Unknown,23 days,0.0,
1467,Neptune-like,2016,5.48 Earths,2.2 x Earth,Unknown,17.7 days,0.0,
1468,Neptune-like,2018,31.6 Earths,0.551 x Jupiter,Unknown,14.8 days,0.0,
1469,Neptune-like,2018,27.2 Earths,0.504 x Jupiter,Unknown,5.1 days,0.0,
1470,Neptune-like,2016,5.52 Earths,2.21 x Earth,Unknown,12.3 days,0.0,
1471,Super Earth,2016,1.98 Earths,1.22 x Earth,Unknown,21.2 days,0.0,
1472,Neptune-like,2016,7.37 Earths,0.234 x Jupiter,Unknown,16.3 days,0.0,
1473,Super Earth,2016,1.08 Earths,1.03 x Earth,Unknown,3.9 days,0.0,
1474,Super Earth,2019,4.35 Earths,1.92 x Earth,Unknown,19.5 days,0.0,
1475,Neptune-like,2016,3.7 Jupiters,0.45 x Jupiter,0.0409 AU,5.4 days,0.0,
1476,Neptune-like,2016,11.2 Earths,0.3 x Jupiter,Unknown,29.7 days,0.0,
1477,Neptune-like,2018,10.4 Earths,0.286 x Jupiter,Unknown,36.6 days,0.0,
1478,Super Earth,2018,4.78 Earths,2.03 x Earth,Unknown,11.6 days,0.0,
1479,Super Earth,2019,3.36 Earths,1.65 x Earth,Unknown,2.8 days,0.0,
1480,Super Earth,2018,4.74 Earths,2.02 x Earth,Unknown,7.7 days,0.0,
1481,Super Earth,2018,3.15 Earths,1.59 x Earth,Unknown,3.4 days,0.0,
1482,Neptune-like,2016,5.1 Earths,2.11 x Earth,Unknown,10.4 days,0.0,
1483,Neptune-like,2016,5.73 Earths,0.202 x Jupiter,Unknown,26.2 days,0.0,
1484,Neptune-like,2016,6.39 Earths,0.215 x Jupiter,Unknown,7.2 days,0.0,
1485,Neptune-like,2018,10.7 Earths,0.291 x Jupiter,Unknown,4.7 days,0.0,
1486,Neptune-like,2018,7.61 Earths,0.238 x Jupiter,Unknown,12.6 days,0.0,
1487,Super Earth,2016,2.48 Earths,1.38 x Earth,Unknown,9 days,0.0,
1488,Gas Giant,2016,1.698 Jupiters,1.227 x Jupiter,0.0442 AU,3 days,0.0,
1489,Super Earth,2021,2.99 Earths,1.54 x Earth,Unknown,4.2 days,0.0,
1490,Neptune-like,2016,7.95 Earths,0.244 x Jupiter,Unknown,20 days,0.0,
1491,Neptune-like,2016,6.99 Earths,0.227 x Jupiter,Unknown,7.8 days,0.0,
1492,Super Earth,2021,2.45 Earths,1.37 x Earth,Unknown,3.7 days,0.0,
1493,Super Earth,2018,4.35 Earths,1.92 x Earth,Unknown,8.2 days,0.0,
1494,Neptune-like,2018,5.6 Earths,2.23 x Earth,Unknown,14.9 days,0.0,
1495,Neptune-like,2021,26.3 Earths,0.495 x Jupiter,Unknown,15.5 days,0.0,
1496,Super Earth,2016,3.05 Earths,1.56 x Earth,Unknown,3.8 days,0.0,
1497,Neptune-like,2021,5.69 Earths,0.201 x Jupiter,0.0632 AU,5.7 days,0.0,
1498,Neptune-like,2021,5.86 Earths,0.204 x Jupiter,0.1599 AU,21 days,0.0,
1499,Neptune-like,2021,13.4 Earths,0.332 x Jupiter,0.145 AU,16.3 days,0.0,
1500,Neptune-like,2021,7.65 Earths,0.239 x Jupiter,0.0863 AU,11.3 days,0.0,
1501,Super Earth,2016,2.3 Earths,1.32 x Earth,0.031 AU,2.4 days,0.13,
1502,Super Earth,2016,4.38 Earths,1.93 x Earth,0.055 AU,5.6 days,0.12,
1503,Neptune-like,2022,8.78 Earths,0.259 x Jupiter,Unknown,23.4 days,0.0,
1504,Neptune-like,2022,6.16 Earths,0.21 x Jupiter,Unknown,15.9 days,0.0,
1505,Neptune-like,2022,6.41 Earths,0.215 x Jupiter,Unknown,20.6 days,0.0,
1506,Super Earth,2022,2.34 Earths,1.332 x Earth,Unknown,5 days,0.0,
1507,Super Earth,2022,2.42 Earths,1.361 x Earth,Unknown,9.7 days,0.0,
1508,Super Earth,2022,4.45 Earths,1.948 x Earth,Unknown,20.2 days,0.0,
1509,Super Earth,2022,2.28 Earths,1.313 x Earth,Unknown,5.8 days,0.0,
1510,Super Earth,2016,3.9 Earths,1.43 x Earth,0.0223 AU,1.4 days,0.0,
1511,Neptune-like,2016,7.8 Earths,0.285 x Jupiter,0.054 AU,5.3 days,0.0,
1512,Neptune-like,2022,10.4 Earths,0.286 x Jupiter,Unknown,2.1 days,0.0,
1513,Gas Giant,2022,Unknown,1.162 x Jupiter,Unknown,3.1 days,0.0,
1514,Neptune-like,2022,8.98 Earths,0.263 x Jupiter,Unknown,9.8 days,0.0,
1515,Super Earth,2022,4.9 Earths,2.061 x Earth,Unknown,11 days,0.0,
1516,Super Earth,2022,3.16 Earths,1.593 x Earth,Unknown,4.5 days,0.0,
1517,Neptune-like,2022,5.53 Earths,2.213 x Earth,Unknown,16.4 days,0.0,
1518,Neptune-like,2022,5.66 Earths,0.2 x Jupiter,Unknown,14.5 days,0.0,
1519,Super Earth,2022,3.66 Earths,1.736 x Earth,Unknown,5.8 days,0.0,
1520,Super Earth,2022,3.51 Earths,1.693 x Earth,Unknown,12.8 days,0.0,
1521,Neptune-like,2022,8.65 Earths,0.257 x Jupiter,Unknown,2.1 days,0.0,
1522,Neptune-like,2022,5.4 Earths,2.181 x Earth,Unknown,8.8 days,0.0,
1523,Super Earth,2016,3.22 Earths,1.61 x Earth,0.0511 AU,4.4 days,0.0,
1524,Neptune-like,2016,8 Earths,0.245 x Jupiter,0.0654 AU,6.4 days,0.0,
1525,Neptune-like,2016,7.9 Earths,0.244 x Jupiter,0.1103 AU,14.1 days,0.0,
1526,Neptune-like,2022,7.89 Earths,0.243 x Jupiter,Unknown,9.4 days,0.0,
1527,Super Earth,2022,1.26 Earths,1.075 x Earth,Unknown,7.9 days,0.0,
1528,Super Earth,2022,4.66 Earths,2.0 x Earth,Unknown,16 days,0.0,
1529,Super Earth,2022,3.5 Earths,1.689 x Earth,Unknown,26.8 days,0.0,
1530,Super Earth,2022,4.95 Earths,2.072 x Earth,Unknown,21.7 days,0.0,
1531,Super Earth,2022,3.07 Earths,1.564 x Earth,Unknown,1.9 days,0.0,
1532,Super Earth,2022,1.26 Earths,1.076 x Earth,Unknown,2.2 days,0.0,
1533,Super Earth,2022,1.82 Earths,1.191 x Earth,Unknown,4.2 days,0.0,
1534,Super Earth,2022,2.52 Earths,1.392 x Earth,Unknown,6.7 days,0.0,
1535,Super Earth,2022,2.37 Earths,1.345 x Earth,Unknown,9.7 days,0.0,
1536,Neptune-like,2022,5.57 Earths,2.222 x Earth,Unknown,13.6 days,0.0,
1537,Super Earth,2022,2.98 Earths,1.539 x Earth,Unknown,2.4 days,0.0,
1538,Neptune-like,2022,5.99 Earths,0.207 x Jupiter,Unknown,7.5 days,0.0,
1539,Gas Giant,2022,0.133 Jupiters,0.653 x Jupiter,Unknown,28.7 days,0.0,
1540,Neptune-like,2022,13 Earths,0.327 x Jupiter,Unknown,6.3 days,0.0,
1541,Neptune-like,2022,5.41 Earths,2.184 x Earth,Unknown,8.6 days,0.0,
1542,Super Earth,2022,4.82 Earths,2.04 x Earth,Unknown,20.9 days,0.0,
1543,Super Earth,2016,19.0698 Earths,1.906 x Earth,0.05073 AU,4 days,0.0,
1544,Super Earth,2016,9.9 Earths,0.216 x Jupiter,0.0964 AU,10.6 days,0.0,
1545,Neptune-like,2022,19.6 Earths,0.416 x Jupiter,Unknown,3.3 days,0.0,
1546,Super Earth,2022,2.45 Earths,1.371 x Earth,Unknown,4.6 days,0.0,
1547,Super Earth,2022,4.08 Earths,1.85 x Earth,Unknown,15.4 days,0.0,
1548,Neptune-like,2022,6.13 Earths,0.21 x Jupiter,Unknown,10.4 days,0.0,
1549,Super Earth,2022,3.51 Earths,1.692 x Earth,Unknown,5.1 days,0.0,
1550,Neptune-like,2022,7.26 Earths,0.232 x Jupiter,Unknown,4.8 days,0.0,
1551,Neptune-like,2022,11.4 Earths,0.303 x Jupiter,Unknown,8.5 days,0.0,
1552,Super Earth,2022,3.12 Earths,1.579 x Earth,Unknown,0.7 days,0.0,
1553,Neptune-like,2022,9.93 Earths,0.279 x Jupiter,Unknown,25.8 days,0.0,
1554,Neptune-like,2022,6.42 Earths,0.216 x Jupiter,Unknown,3.6 days,0.0,
1555,Neptune-like,2022,5.79 Earths,0.203 x Jupiter,Unknown,6.4 days,0.0,
1556,Neptune-like,2022,22.8 Earths,0.455 x Jupiter,Unknown,18.8 days,0.0,
1557,Neptune-like,2022,30.5 Earths,0.54 x Jupiter,Unknown,0.8 days,0.0,
1558,Neptune-like,2016,28.6047 Earths,0.56 x Jupiter,0.05708 AU,4.6 days,0.0,
1559,Super Earth,2015,6.48 Earths,1.98 x Earth,0.074 AU,10.1 days,0.0,
1560,Super Earth,2015,2.14 Earths,1.56 x Earth,0.1345 AU,24.6 days,0.0,
1561,Super Earth,2015,2.80007 Earths,1.53 x Earth,0.2097 AU,44.6 days,0.0,
1562,Super Earth,2022,1.67 Earths,1.163 x Earth,Unknown,3.9 days,0.0,
1563,Neptune-like,2022,5.74 Earths,0.202 x Jupiter,Unknown,6.3 days,0.0,
1564,Neptune-like,2022,7.65 Earths,0.239 x Jupiter,Unknown,17.3 days,0.0,
1565,Neptune-like,2022,24.6 Earths,0.476 x Jupiter,Unknown,33.6 days,0.0,
1566,Neptune-like,2022,6.94 Earths,0.226 x Jupiter,Unknown,13.1 days,0.0,
1567,Neptune-like,2022,18.9 Earths,0.408 x Jupiter,Unknown,3.4 days,0.0,
1568,Neptune-like,2022,19.2 Earths,0.411 x Jupiter,Unknown,22.5 days,0.0,
1569,Super Earth,2022,2.19 Earths,1.283 x Earth,Unknown,4.9 days,0.0,
1570,Super Earth,2022,2.42 Earths,1.36 x Earth,Unknown,9.2 days,0.0,
1571,Super Earth,2022,3.45 Earths,1.677 x Earth,Unknown,21 days,0.0,
1572,Neptune-like,2022,6.72 Earths,0.221 x Jupiter,Unknown,1.9 days,0.0,
1573,Neptune-like,2016,5.27 Earths,2.15 x Earth,0.0617 AU,6.7 days,0.0,
1574,Neptune-like,2016,18.5 Earths,0.402 x Jupiter,0.03784 AU,3.5 days,0.07,
1575,Neptune-like,2019,6.44 Earths,0.216 x Jupiter,Unknown,2.2 days,0.0,
1576,Neptune-like,2016,6.5 Earths,0.217 x Jupiter,0.06 AU,5.7 days,0.0,
1577,Neptune-like,2016,36.4 Earths,0.599 x Jupiter,0.0224 AU,1.7 days,0.1,
1578,Super Earth,2016,4.86 Earths,2.05 x Earth,0.13821 AU,19.2 days,0.0,
1579,Super Earth,2016,4.23 Earths,1.89 x Earth,0.1779 AU,31.6 days,0.0,
1580,Neptune-like,2016,5.65 Earths,0.2 x Jupiter,0.1344 AU,20.5 days,0.0,
1581,Super Earth,2016,4.38 Earths,1.93 x Earth,0.0309 AU,2.8 days,0.0,
1582,Neptune-like,2015,5.06 Earths,2.1 x Earth,0.078 AU,10 days,0.08,
1583,Super Earth,2016,3.15 Earths,1.59 x Earth,0.0705 AU,8.8 days,0.0,
1584,Gas Giant,2016,144 Jupiters,1.606 x Jupiter,0.054 AU,3.5 days,0.0,
1585,Neptune-like,2016,7.27 Earths,0.232 x Jupiter,0.098 AU,12.2 days,0.0,
1586,Super Earth,2016,1.6 Earths,1.15 x Earth,0.0671 AU,9.8 days,0.0,
1587,Neptune-like,2016,14 Earths,0.341 x Jupiter,0.03486 AU,2.8 days,0.07,
1588,Neptune-like,2016,5.06 Earths,2.1 x Earth,0.0746 AU,9 days,0.0,
1589,Neptune-like,2016,7.65 Earths,0.239 x Jupiter,0.0692 AU,7.1 days,0.0,
1590,Super Earth,2016,3.26 Earths,1.62 x Earth,0.035 AU,2.5 days,0.0,
1591,Super Earth,2016,3.57 Earths,1.71 x Earth,0.1517 AU,22.9 days,0.0,
1592,Neptune-like,2016,6.39 Earths,0.215 x Jupiter,0.1354 AU,20.7 days,0.0,
1593,Neptune-like,2016,5.9 Earths,0.205 x Jupiter,0.0905 AU,11.3 days,0.0,
