id,planet_type,discovery_date,mass,planet_radius,orbital_radius,orbital_period,eccentricity,detection_method
2838,Neptune-like,2021,9.17 Earths,0.266 x Jupiter,0.5368 AU,159.4 days,0.0,
2839,Super Earth,2021,2.81 Earths,1.487 x Earth,0.1151 AU,13.8 days,0.0,
2840,Neptune-like,2021,10.6 Earths,0.29 x Jupiter,0.4438 AU,103.4 days,0.0,
2841,Super Earth,2021,3.95 Earths,1.814 x Earth,0.0845 AU,9 days,0.0,
2842,Super Earth,2021,2.89 Earths,1.511 x Earth,0.036 AU,2.5 days,0.0,
2843,Neptune-like,2021,7.18 Earths,0.23 x Jupiter,0.16 AU,24.3 days,0.0,
2844,Neptune-like,2021,8.88 Earths,0.261 x Jupiter,0.1421 AU,19.9 days,0.0,
2845,Super Earth,2021,2.32 Earths,1.326 x Earth,0.0956 AU,11.4 days,0.0,
2846,Neptune-like,2021,8.98 Earths,0.263 x Jupiter,0.2082 AU,37.3 days,0.0,
2847,Super Earth,2014,3.46 Earths,1.68 x Earth,0.032 AU,2.1 days,0.0,
2848,Neptune-like,2014,10.3 Earths,0.285 x Jupiter,0.066 AU,6 days,0.0,
2849,Terrestrial,2021,0.587 Earths,0.869 x Earth,0.0563 AU,4.8 days,0.0,
2850,Super Earth,2021,2.93 Earths,1.521 x Earth,0.0473 AU,4 days,0.0,
2851,Super Earth,2021,4.03 Earths,1.837 x Earth,0.0633 AU,6.3 days,0.0,
2852,Super Earth,2021,3.55 Earths,1.706 x Earth,0.0504 AU,4.2 days,0.0,
2853,Super Earth,2021,1.87 Earths,1.201 x Earth,0.0385 AU,2.8 days,0.0,
2854,Neptune-like,2021,5.14 Earths,2.119 x Earth,0.0615 AU,6.1 days,0.0,
2855,Neptune-like,2021,9.8 Earths,0.277 x Jupiter,0.2529 AU,44.9 days,0.0,
2856,Neptune-like,2021,8.32 Earths,0.251 x Jupiter,0.1546 AU,24.2 days,0.0,
2857,Terrestrial,2021,0.76 Earths,0.934 x Earth,0.0522 AU,4.8 days,0.0,
2858,Super Earth,2021,3.02 Earths,1.551 x Earth,0.0457 AU,4.1 days,0.0,
2859,Super Earth,2014,1.92 Earths,1.21 x Earth,0.088 AU,10.4 days,0.0,
2860,Super Earth,2014,22.7 Earths,0.212 x Jupiter,0.137 AU,20.1 days,0.0,
2861,Super Earth,2011,6.9 Earths,2.0 x Earth,0.0447 AU,3.5 days,0.0,
2862,Neptune-like,2011,17.3 Earths,0.49 x Jupiter,0.0752 AU,7.6 days,0.0,
2863,Neptune-like,2011,16.4 Earths,0.623 x Jupiter,0.1172 AU,14.9 days,0.0,
2864,Super Earth,2021,3.27 Earths,1.623 x Earth,0.042 AU,3 days,0.0,
2865,Super Earth,2021,2.77 Earths,1.474 x Earth,0.0453 AU,3.5 days,0.0,
2866,Super Earth,2021,1.74 Earths,1.176 x Earth,0.0385 AU,3.8 days,0.0,
2867,Neptune-like,2021,5.85 Earths,0.204 x Jupiter,0.1321 AU,17.1 days,0.0,
2868,Super Earth,2021,2.51 Earths,1.39 x Earth,0.0436 AU,4.6 days,0.0,
2869,Super Earth,2021,2.69 Earths,1.446 x Earth,0.0451 AU,3.4 days,0.0,
2870,Neptune-like,2021,8.13 Earths,0.248 x Jupiter,0.0738 AU,7.4 days,0.0,
2871,Terrestrial,2021,0.589 Earths,0.87 x Earth,0.0565 AU,5.7 days,0.0,
2872,Super Earth,2021,1.63 Earths,1.155 x Earth,0.1076 AU,14.9 days,0.0,
2873,Super Earth,2021,1.33 Earths,1.092 x Earth,0.0306 AU,2.4 days,0.0,
2874,Super Earth,2014,3.05 Earths,1.56 x Earth,0.03 AU,2 days,0.0,
2875,Super Earth,2014,2.73 Earths,1.46 x Earth,0.045 AU,3.8 days,0.0,
2876,Super Earth,2021,1.78 Earths,1.184 x Earth,0.0536 AU,5.7 days,0.0,
2877,Super Earth,2021,1.01 Earths,1.011 x Earth,0.0636 AU,6 days,0.0,
2878,Super Earth,2021,2.41 Earths,1.357 x Earth,0.0646 AU,6.1 days,0.0,
2879,Super Earth,2021,2.92 Earths,1.519 x Earth,0.1209 AU,14.2 days,0.0,
2880,Neptune-like,2021,8.97 Earths,0.263 x Jupiter,0.1954 AU,30.8 days,0.0,
2881,Neptune-like,2021,10.4 Earths,0.287 x Jupiter,0.114 AU,13.8 days,0.0,
2882,Neptune-like,2021,7.35 Earths,0.234 x Jupiter,0.2053 AU,31.3 days,0.0,
2883,Super Earth,2021,4.23 Earths,1.89 x Earth,0.103 AU,12.9 days,0.0,
2884,Neptune-like,2021,5.89 Earths,0.205 x Jupiter,0.2524 AU,47.1 days,0.0,
